Date,SPX,BOND,GOLD
1993-01-31,24.241416931152344,,
1993-02-28,24.500030517578125,,
1993-03-31,25.04880714416504,,
1993-04-30,24.40785026550293,,
1993-05-31,25.066133499145508,,
1993-06-30,25.156553268432617,,
1993-07-31,25.034439086914062,,
1993-08-31,25.99393081665039,,
1993-09-30,25.804824829101562,,
1993-10-31,26.31387710571289,,
1993-11-30,26.03302001953125,,
1993-12-31,26.352619171142578,,
1994-01-31,27.271709442138672,,
1994-02-28,26.476337432861328,,
1994-03-31,25.366958618164062,,
1994-04-30,25.651386260986328,,
1994-05-31,26.060230255126953,,
1994-06-30,25.463090896606445,,
1994-07-31,26.286195755004883,,
1994-08-31,27.288267135620117,,
1994-09-30,26.5991153717041,,
1994-10-31,27.35521125793457,,
1994-11-30,26.26605796813965,,
1994-12-31,26.457334518432617,,
1995-01-31,27.346508026123047,,
1995-02-28,28.462493896484375,,
1995-03-31,29.255117416381836,,
1995-04-30,30.121746063232422,,
1995-05-31,31.31674575805664,,
1995-06-30,31.95027732849121,,
1995-07-31,32.97794723510742,,
1995-08-31,33.124778747558594,,
1995-09-30,34.52850341796875,,
1995-10-31,34.42702865600586,,
1995-11-30,35.958335876464844,,
1995-12-31,36.524070739746094,,
1996-01-31,37.82352066040039,,
1996-02-29,37.94418716430664,,
1996-03-31,38.597511291503906,,
1996-04-30,39.01704788208008,,
1996-05-31,39.902740478515625,,
1996-06-30,40.25477600097656,,
1996-07-31,38.445884704589844,,
1996-08-31,39.186309814453125,,
1996-09-30,41.375728607177734,,
1996-10-31,42.713470458984375,,
1996-11-30,45.83176040649414,,
1996-12-31,44.74104690551758,,
1997-01-31,47.505409240722656,,
1997-02-28,47.9598388671875,,
1997-03-31,45.84371566772461,,
1997-04-30,48.71371078491211,,
1997-05-31,51.79275131225586,,
1997-06-30,53.92156219482422,,
1997-07-31,58.19561004638672,,
1997-08-31,55.180877685546875,,
1997-09-30,57.83452224731445,,
1997-10-31,56.41740417480469,,
1997-11-30,58.6005859375,,
1997-12-31,59.7181510925293,,
1998-01-31,60.48725128173828,,
1998-02-28,64.67870330810547,,
1998-03-31,67.83394622802734,,
1998-04-30,68.70162200927734,,
1998-05-31,67.27477264404297,,
1998-06-30,70.13887023925781,,
1998-07-31,69.19105529785156,,
1998-08-31,59.422672271728516,,
1998-09-30,63.20429229736328,,
1998-10-31,68.32898712158203,,
1998-11-30,72.13365173339844,,
1998-12-31,76.85277557373047,,
1999-01-31,79.55995178222656,,
1999-02-28,77.00862121582031,,
1999-03-31,80.2020034790039,,
1999-04-30,83.24763488769531,,
1999-05-31,81.34410095214844,,
1999-06-30,85.84881591796875,,
1999-07-31,83.18563842773438,,
1999-08-31,82.75482940673828,,
1999-09-30,80.90633392333984,,
1999-10-31,86.09060668945312,,
1999-11-30,87.5241470336914,,
1999-12-31,92.52259826660156,,
2000-01-31,87.9161605834961,,
2000-02-29,86.57752227783203,,
2000-03-31,94.9681396484375,,
2000-04-30,91.63278198242188,,
2000-05-31,90.1921157836914,,
2000-06-30,91.96723937988281,,
2000-07-31,90.52318572998047,,
2000-08-31,96.43800354003906,,
2000-09-30,91.14723205566406,,
2000-10-31,90.72084045410156,,
2000-11-30,83.94825744628906,,
2000-12-31,83.50947570800781,,
2001-01-31,87.22228240966797,,
2001-02-28,78.90233612060547,,
2001-03-31,74.48090362548828,,
2001-04-30,80.84455108642578,,
2001-05-31,80.39134216308594,,
2001-06-30,78.47566223144531,,
2001-07-31,77.675537109375,,
2001-08-31,73.06686401367188,,
2001-09-30,67.1023941040039,,
2001-10-31,67.97614288330078,,
2001-11-30,73.27680206298828,,
2001-12-31,73.69000244140625,,
2002-01-31,72.96791076660156,,
2002-02-28,71.65918731689453,,
2002-03-31,74.04330444335938,,
2002-04-30,69.73728942871094,,
2002-05-31,69.32351684570312,,
2002-06-30,64.2069091796875,,
2002-07-31,59.14613723754883,41.59156799316406,
2002-08-31,59.54838943481445,42.6399040222168,
2002-09-30,53.30461883544922,44.28360366821289,
2002-10-31,57.69072723388672,43.72968673706055,
2002-11-30,61.24916458129883,42.816062927246094,
2002-12-31,57.78428649902344,44.335060119628906,
2003-01-31,56.36308288574219,43.99540710449219,
2003-02-28,55.60336685180664,44.965030670166016,
2003-03-31,55.722354888916016,44.79414749145508,
2003-04-30,60.4371337890625,44.855979919433594,
2003-05-31,63.751277923583984,46.5564079284668,
2003-06-30,64.43034362792969,46.234397888183594,
2003-07-31,65.59185028076172,43.91339111328125,
2003-08-31,66.94469451904297,44.22523880004883,
2003-09-30,66.21461486816406,46.425601959228516,
2003-10-31,69.75884246826172,45.74482345581055,
2003-11-30,70.52071380615234,45.75511932373047,
2003-12-31,74.06881713867188,46.688629150390625,
2004-01-31,75.53313446044922,47.16270065307617,
2004-02-29,76.55817413330078,47.92290496826172,
2004-03-31,75.54412841796875,48.54446792602539,
2004-04-30,74.11471557617188,46.434593200683594,
2004-05-31,75.38384246826172,46.18800735473633,
2004-06-30,76.77852630615234,46.48974609375,
2004-07-31,74.30482482910156,47.05306625366211,
2004-08-31,74.48584747314453,48.38449478149414,
2004-09-30,75.23347473144531,48.540550231933594,
2004-10-31,76.20282745361328,49.02069854736328,
2004-11-30,79.59513092041016,48.05110549926758,45.119998931884766
2004-12-31,81.99266815185547,48.6120719909668,43.79999923706055
2005-01-31,80.154296875,49.03549575805664,42.220001220703125
2005-02-28,81.82982635498047,48.36452865600586,43.529998779296875
2005-03-31,80.33293914794922,48.16938018798828,42.81999969482422
