,Cluster_ID,Size,Representative,All_Features
601,408,3,TB3MS_chg_12M,"GS1_chg_12M, TB3MS_chg_12M, TB6MS_chg_12M"
9,216,3,IPNMAT_zscore_12M,"IPNMAT, IPNMAT_zscore_12M, IPNMAT_zscore_6M"
599,439,3,TB3MS_accel_6M,"GS1_accel_6M, TB3MS_accel_6M, TB6MS_accel_6M"
6,232,3,IPDCONGD_zscore_12M,"IPDCONGD, IPDCONGD_zscore_12M, IPDCONGD_zscore_6M"
598,440,3,TB3MS_chg_6M,"GS1_chg_6M, TB3MS_chg_6M, TB6MS_chg_6M"
2,148,3,CMRMTSPLx_zscore_12M,"CMRMTSPLx, CMRMTSPLx_zscore_12M, CMRMTSPLx_zscore_6M"
627,374,3,T1YFFM_accel_6M,"T1YFFM_accel_6M, TB3SMFFM_accel_6M, TB6SMFFM_accel_6M"
596,413,3,GS1_accel_3M,"GS1_accel_3M, TB3MS_accel_3M, TB6MS_accel_3M"
263,238,3,IPFINAL_zscore_3M,"IPCONGD_zscore_3M, IPFINAL_zscore_3M, IPFPNSS_zscore_3M"
50,553,3,NONBORRES_zscore_12M,"NONBORRES, NONBORRES_zscore_12M, NONBORRES_zscore_6M"
266,180,3,IPCONGD_chg_12M,"IPCONGD_chg_12M, IPFINAL_chg_12M, IPFPNSS_chg_12M"
265,212,3,IPCONGD_accel_6M,"IPCONGD_accel_6M, IPFINAL_accel_6M, IPFPNSS_accel_6M"
264,213,3,IPCONGD_chg_6M,"IPCONGD_chg_6M, IPFINAL_chg_6M, IPFPNSS_chg_6M"
120,381,3,Yield_Curve_10Y_1Y_chg_1M,"YC_10Y_1Y_chg_1M, Yield_Curve_10Y_1Y_chg_1M, Yield_Curve_5Y_1Y_chg_1M"
595,414,3,GS1_chg_3M,"GS1_chg_3M, TB3MS_chg_3M, TB6MS_chg_3M"
105,355,3,Real_Fed_Funds_chg_3M,"Real_1Y_Yield_chg_3M, Real_3M_Rate_chg_3M, Real_Fed_Funds_chg_3M"
106,351,3,Real_Fed_Funds_chg_6M,"Real_1Y_Yield_chg_6M, Real_3M_Rate_chg_6M, Real_Fed_Funds_chg_6M"
630,379,3,T1YFFM_accel_12M,"T1YFFM_accel_12M, TB3SMFFM_accel_12M, TB6SMFFM_accel_12M"
107,353,3,Real_Fed_Funds_chg_12M,"Real_1Y_Yield_chg_12M, Real_3M_Rate_chg_12M, Real_Fed_Funds_chg_12M"
39,593,3,ACOGNO_zscore_12M,"ACOGNO, ACOGNO_zscore_12M, ACOGNO_zscore_6M"
38,488,3,PERMITS,"HOUSTS, PERMIT, PERMITS"
629,378,3,T1YFFM_chg_12M,"T1YFFM_chg_12M, TB3SMFFM_chg_12M, TB6SMFFM_chg_12M"
44,146,3,ISRATIOx_zscore_12M,"ISRATIOx, ISRATIOx_zscore_12M, ISRATIOx_zscore_6M"
92,651,3,UMCSENTx,"UMCSENTx, UMCSENTx_zscore_12M, UMCSENTx_zscore_6M"
267,179,3,IPFINAL_accel_12M,"IPCONGD_accel_12M, IPFINAL_accel_12M, IPFPNSS_accel_12M"
67,691,3,EXJPUSx_zscore_12M,"EXJPUSx, EXJPUSx_zscore_12M, EXJPUSx_zscore_6M"
66,701,3,EXSZUSx_zscore_12M,"EXSZUSx, EXSZUSx_zscore_12M, EXSZUSx_zscore_6M"
65,700,3,TWEXAFEGSMTHx_zscore_12M,"TWEXAFEGSMTHx, TWEXAFEGSMTHx_zscore_12M, TWEXAFEGSMTHx_zscore_6M"
255,222,3,CUMFNS_accel_3M,"CUMFNS_accel_3M, INDPRO_accel_3M, IPMANSICS_accel_3M"
254,221,3,CUMFNS_chg_3M,"CUMFNS_chg_3M, INDPRO_chg_3M, IPMANSICS_chg_3M"
62,522,3,TB6SMFFM,"TB3SMFFM, TB6SMFFM, TED_Spread_Proxy"
58,417,3,TB3MS,"GS1, TB3MS, TB6MS"
318,59,3,UNRATE_zscore_12M,"UNRATE_zscore_12M, UNRATE_zscore_3M, UNRATE_zscore_6M"
313,28,2,CE16OV_accel_3M,"CE16OV_accel_3M, CE16OV_chg_3M"
317,55,2,UNRATE_accel_3M,"UNRATE_accel_3M, UNRATE_chg_3M"
371,83,2,CES1021000001_zscore_12M,"CES1021000001_zscore_12M, CES1021000001_zscore_6M"
356,183,2,SRVPRD_chg_12M,"PAYEMS_chg_12M, SRVPRD_chg_12M"
299,742,2,IPFUELS_accel_12M,"IPFUELS_accel_12M, IPFUELS_chg_12M"
357,184,2,SRVPRD_accel_12M,"PAYEMS_accel_12M, SRVPRD_accel_12M"
296,106,2,IPB51222S_accel_12M,"IPB51222S_accel_12M, IPB51222S_chg_12M"
311,23,2,CLF16OV_accel_6M,"CLF16OV_accel_6M, CLF16OV_chg_6M"
321,57,2,UNRATE_accel_12M,"UNRATE_accel_12M, UNRATE_chg_12M"
363,248,2,USGOOD_zscore_12M,"USGOOD_zscore_12M, USGOOD_zscore_6M"
600,419,2,TB3MS_zscore_12M,"TB3MS_zscore_12M, TB3MS_zscore_6M"
316,25,2,CE16OV_accel_12M,"CE16OV_accel_12M, CE16OV_chg_12M"
